case_num,model_type,policy,oracle_non_deployable,repetition,concept_indices_in_query_order
259,soft,random_error_oracle,1,0,[]
263,soft,random_error_oracle,1,0,"[4,0]"
264,soft,random_error_oracle,1,0,"[1,6,5]"
265,soft,random_error_oracle,1,0,[]
267,soft,random_error_oracle,1,0,"[5,6]"
268,soft,random_error_oracle,1,0,[0]
269,soft,random_error_oracle,1,0,[]
270,soft,random_error_oracle,1,0,[]
271,soft,random_error_oracle,1,0,"[2,5,0]"
272,soft,random_error_oracle,1,0,[]
273,soft,random_error_oracle,1,0,[0]
274,soft,random_error_oracle,1,0,[]
275,soft,random_error_oracle,1,0,"[2,0]"
276,soft,random_error_oracle,1,0,[4]
277,soft,random_error_oracle,1,0,[]
278,soft,random_error_oracle,1,0,[1]
279,soft,random_error_oracle,1,0,[5]
280,soft,random_error_oracle,1,0,"[6,5]"
281,soft,random_error_oracle,1,0,[]
282,soft,random_error_oracle,1,0,"[5,1,2]"
283,soft,random_error_oracle,1,0,[]
284,soft,random_error_oracle,1,0,[1]
285,soft,random_error_oracle,1,0,[]
286,soft,random_error_oracle,1,0,[1]
288,soft,random_error_oracle,1,0,"[3,1,6,5,2]"
290,soft,random_error_oracle,1,0,[]
292,soft,random_error_oracle,1,0,"[5,0]"
293,soft,random_error_oracle,1,0,[]
294,soft,random_error_oracle,1,0,[]
295,soft,random_error_oracle,1,0,[]
296,soft,random_error_oracle,1,0,[]
297,soft,random_error_oracle,1,0,[3]
298,soft,random_error_oracle,1,0,[1]
299,soft,random_error_oracle,1,0,"[3,2,6,0,1]"
302,soft,random_error_oracle,1,0,"[4,1]"
303,soft,random_error_oracle,1,0,[4]
304,soft,random_error_oracle,1,0,[]
306,soft,random_error_oracle,1,0,[]
308,soft,random_error_oracle,1,0,"[5,2]"
309,soft,random_error_oracle,1,0,[]
310,soft,random_error_oracle,1,0,[]
311,soft,random_error_oracle,1,0,[]
313,soft,random_error_oracle,1,0,[2]
315,soft,random_error_oracle,1,0,[2]
317,soft,random_error_oracle,1,0,[]
318,soft,random_error_oracle,1,0,"[5,1]"
319,soft,random_error_oracle,1,0,[2]
320,soft,random_error_oracle,1,0,[2]
321,soft,random_error_oracle,1,0,[]
322,soft,random_error_oracle,1,0,"[0,3,4]"
323,soft,random_error_oracle,1,0,[0]
324,soft,random_error_oracle,1,0,[]
325,soft,random_error_oracle,1,0,"[2,0,5]"
326,soft,random_error_oracle,1,0,"[2,3]"
327,soft,random_error_oracle,1,0,[2]
328,soft,random_error_oracle,1,0,"[0,6]"
329,soft,random_error_oracle,1,0,[]
331,soft,random_error_oracle,1,0,[]
332,soft,random_error_oracle,1,0,[]
333,soft,random_error_oracle,1,0,[5]
334,soft,random_error_oracle,1,0,[0]
335,soft,random_error_oracle,1,0,[5]
337,soft,random_error_oracle,1,0,"[6,0,5]"
338,soft,random_error_oracle,1,0,[2]
339,soft,random_error_oracle,1,0,"[1,5,2]"
340,soft,random_error_oracle,1,0,"[0,6]"
342,soft,random_error_oracle,1,0,[1]
344,soft,random_error_oracle,1,0,"[2,5,3]"
345,soft,random_error_oracle,1,0,[1]
346,soft,random_error_oracle,1,0,"[0,6]"
347,soft,random_error_oracle,1,0,[]
348,soft,random_error_oracle,1,0,"[2,5]"
349,soft,random_error_oracle,1,0,[2]
350,soft,random_error_oracle,1,0,[2]
353,soft,random_error_oracle,1,0,[]
354,soft,random_error_oracle,1,0,[0]
355,soft,random_error_oracle,1,0,[2]
356,soft,random_error_oracle,1,0,"[5,4,2,0,1]"
357,soft,random_error_oracle,1,0,[]
358,soft,random_error_oracle,1,0,"[4,0]"
359,soft,random_error_oracle,1,0,[]
361,soft,random_error_oracle,1,0,[]
362,soft,random_error_oracle,1,0,"[2,6,5]"
363,soft,random_error_oracle,1,0,[]
364,soft,random_error_oracle,1,0,[]
365,soft,random_error_oracle,1,0,[1]
366,soft,random_error_oracle,1,0,"[6,0]"
368,soft,random_error_oracle,1,0,[1]
371,soft,random_error_oracle,1,0,[5]
372,soft,random_error_oracle,1,0,[]
374,soft,random_error_oracle,1,0,[1]
375,soft,random_error_oracle,1,0,"[6,1,0]"
377,soft,random_error_oracle,1,0,[6]
378,soft,random_error_oracle,1,0,"[1,2,3,5]"
380,soft,random_error_oracle,1,0,"[2,6,3,5]"
381,soft,random_error_oracle,1,0,"[4,0,5]"
382,soft,random_error_oracle,1,0,[]
383,soft,random_error_oracle,1,0,[]
384,soft,random_error_oracle,1,0,[]
385,soft,random_error_oracle,1,0,[1]
386,soft,random_error_oracle,1,0,[5]
387,soft,random_error_oracle,1,0,[]
389,soft,random_error_oracle,1,0,[1]
390,soft,random_error_oracle,1,0,"[0,1,6]"
391,soft,random_error_oracle,1,0,"[5,3]"
392,soft,random_error_oracle,1,0,[]
393,soft,random_error_oracle,1,0,[]
394,soft,random_error_oracle,1,0,[0]
396,soft,random_error_oracle,1,0,[]
397,soft,random_error_oracle,1,0,[]
398,soft,random_error_oracle,1,0,"[4,1]"
399,soft,random_error_oracle,1,0,[]
401,soft,random_error_oracle,1,0,"[5,1]"
402,soft,random_error_oracle,1,0,[]
403,soft,random_error_oracle,1,0,[]
404,soft,random_error_oracle,1,0,[5]
405,soft,random_error_oracle,1,0,[]
406,soft,random_error_oracle,1,0,"[1,5]"
407,soft,random_error_oracle,1,0,[2]
409,soft,random_error_oracle,1,0,[1]
410,soft,random_error_oracle,1,0,"[6,5]"
411,soft,random_error_oracle,1,0,[]
412,soft,random_error_oracle,1,0,[]
414,soft,random_error_oracle,1,0,[1]
416,soft,random_error_oracle,1,0,[]
417,soft,random_error_oracle,1,0,"[6,5,2,1]"
418,soft,random_error_oracle,1,0,"[0,6,1]"
419,soft,random_error_oracle,1,0,"[5,0,6]"
420,soft,random_error_oracle,1,0,[]
421,soft,random_error_oracle,1,0,[1]
422,soft,random_error_oracle,1,0,[5]
423,soft,random_error_oracle,1,0,[]
424,soft,random_error_oracle,1,0,[0]
425,soft,random_error_oracle,1,0,[]
428,soft,random_error_oracle,1,0,"[0,5]"
429,soft,random_error_oracle,1,0,[]
430,soft,random_error_oracle,1,0,"[0,5]"
431,soft,random_error_oracle,1,0,[]
432,soft,random_error_oracle,1,0,"[2,5]"
433,soft,random_error_oracle,1,0,[]
434,soft,random_error_oracle,1,0,[5]
435,soft,random_error_oracle,1,0,[0]
437,soft,random_error_oracle,1,0,"[2,5]"
439,soft,random_error_oracle,1,0,[5]
44,soft,random_error_oracle,1,0,[2]
440,soft,random_error_oracle,1,0,"[5,1,0]"
444,soft,random_error_oracle,1,0,[]
445,soft,random_error_oracle,1,0,[]
446,soft,random_error_oracle,1,0,[]
447,soft,random_error_oracle,1,0,[]
448,soft,random_error_oracle,1,0,[]
449,soft,random_error_oracle,1,0,[]
45,soft,random_error_oracle,1,0,[3]
450,soft,random_error_oracle,1,0,[]
451,soft,random_error_oracle,1,0,[]
452,soft,random_error_oracle,1,0,"[4,1]"
453,soft,random_error_oracle,1,0,[]
454,soft,random_error_oracle,1,0,[]
455,soft,random_error_oracle,1,0,"[3,4]"
456,soft,random_error_oracle,1,0,[1]
457,soft,random_error_oracle,1,0,[]
458,soft,random_error_oracle,1,0,[]
459,soft,random_error_oracle,1,0,[5]
46,soft,random_error_oracle,1,0,[]
460,soft,random_error_oracle,1,0,[1]
461,soft,random_error_oracle,1,0,[]
463,soft,random_error_oracle,1,0,"[2,5,3]"
464,soft,random_error_oracle,1,0,[0]
465,soft,random_error_oracle,1,0,"[5,4,1]"
466,soft,random_error_oracle,1,0,[]
467,soft,random_error_oracle,1,0,"[4,6]"
469,soft,random_error_oracle,1,0,[1]
47,soft,random_error_oracle,1,0,[]
470,soft,random_error_oracle,1,0,"[3,5]"
471,soft,random_error_oracle,1,0,[]
472,soft,random_error_oracle,1,0,"[1,3]"
475,soft,random_error_oracle,1,0,[]
476,soft,random_error_oracle,1,0,[3]
477,soft,random_error_oracle,1,0,[]
478,soft,random_error_oracle,1,0,"[6,5]"
479,soft,random_error_oracle,1,0,[]
480,soft,random_error_oracle,1,0,"[3,2,5]"
482,soft,random_error_oracle,1,0,[3]
484,soft,random_error_oracle,1,0,[0]
486,soft,random_error_oracle,1,0,"[0,4,2,1]"
487,soft,random_error_oracle,1,0,[5]
488,soft,random_error_oracle,1,0,[]
489,soft,random_error_oracle,1,0,[]
49,soft,random_error_oracle,1,0,[]
490,soft,random_error_oracle,1,0,[5]
491,soft,random_error_oracle,1,0,"[1,0]"
492,soft,random_error_oracle,1,0,[2]
493,soft,random_error_oracle,1,0,[0]
495,soft,random_error_oracle,1,0,[0]
496,soft,random_error_oracle,1,0,"[1,2,5]"
497,soft,random_error_oracle,1,0,"[4,2]"
498,soft,random_error_oracle,1,0,"[4,3]"
50,soft,random_error_oracle,1,0,"[4,5,2]"
500,soft,random_error_oracle,1,0,[]
502,soft,random_error_oracle,1,0,[2]
503,soft,random_error_oracle,1,0,[5]
504,soft,random_error_oracle,1,0,[]
506,soft,random_error_oracle,1,0,[]
507,soft,random_error_oracle,1,0,[]
508,soft,random_error_oracle,1,0,[]
510,soft,random_error_oracle,1,0,[]
511,soft,random_error_oracle,1,0,[]
512,soft,random_error_oracle,1,0,[]
513,soft,random_error_oracle,1,0,[1]
514,soft,random_error_oracle,1,0,[]
515,soft,random_error_oracle,1,0,[]
516,soft,random_error_oracle,1,0,[5]
517,soft,random_error_oracle,1,0,"[5,6,0,1,2]"
519,soft,random_error_oracle,1,0,[]
52,soft,random_error_oracle,1,0,[3]
520,soft,random_error_oracle,1,0,[5]
521,soft,random_error_oracle,1,0,"[3,2,4]"
522,soft,random_error_oracle,1,0,"[0,2,4]"
523,soft,random_error_oracle,1,0,[4]
524,soft,random_error_oracle,1,0,[]
526,soft,random_error_oracle,1,0,"[1,6]"
527,soft,random_error_oracle,1,0,[]
528,soft,random_error_oracle,1,0,"[4,3]"
529,soft,random_error_oracle,1,0,"[3,4,2]"
53,soft,random_error_oracle,1,0,[3]
530,soft,random_error_oracle,1,0,[]
531,soft,random_error_oracle,1,0,[]
532,soft,random_error_oracle,1,0,"[6,4]"
54,soft,random_error_oracle,1,0,[2]
55,soft,random_error_oracle,1,0,[3]
56,soft,random_error_oracle,1,0,[2]
57,soft,random_error_oracle,1,0,[2]
577,soft,random_error_oracle,1,0,"[5,6]"
578,soft,random_error_oracle,1,0,[]
579,soft,random_error_oracle,1,0,[4]
58,soft,random_error_oracle,1,0,"[3,5,2]"
580,soft,random_error_oracle,1,0,"[5,0]"
581,soft,random_error_oracle,1,0,[1]
583,soft,random_error_oracle,1,0,"[3,2]"
585,soft,random_error_oracle,1,0,"[1,6,3]"
586,soft,random_error_oracle,1,0,"[0,5]"
587,soft,random_error_oracle,1,0,"[6,2]"
588,soft,random_error_oracle,1,0,"[6,1,2]"
589,soft,random_error_oracle,1,0,"[6,5,2]"
59,soft,random_error_oracle,1,0,[2]
590,soft,random_error_oracle,1,0,"[1,2,0,6]"
591,soft,random_error_oracle,1,0,[0]
592,soft,random_error_oracle,1,0,"[1,3,0]"
593,soft,random_error_oracle,1,0,"[0,5,6,2]"
594,soft,random_error_oracle,1,0,"[4,2]"
595,soft,random_error_oracle,1,0,"[5,1,0]"
596,soft,random_error_oracle,1,0,"[1,0]"
597,soft,random_error_oracle,1,0,"[1,6,0]"
598,soft,random_error_oracle,1,0,[]
599,soft,random_error_oracle,1,0,"[0,4]"
60,soft,random_error_oracle,1,0,[]
601,soft,random_error_oracle,1,0,"[5,0,1]"
604,soft,random_error_oracle,1,0,"[3,1]"
605,soft,random_error_oracle,1,0,[6]
606,soft,random_error_oracle,1,0,"[5,2,0]"
607,soft,random_error_oracle,1,0,[6]
608,soft,random_error_oracle,1,0,"[1,3]"
609,soft,random_error_oracle,1,0,"[0,5]"
61,soft,random_error_oracle,1,0,[3]
610,soft,random_error_oracle,1,0,"[2,6]"
611,soft,random_error_oracle,1,0,"[0,2,5,6]"
612,soft,random_error_oracle,1,0,"[2,5,6]"
613,soft,random_error_oracle,1,0,"[5,1,6]"
615,soft,random_error_oracle,1,0,"[0,6]"
616,soft,random_error_oracle,1,0,"[0,2,6]"
618,soft,random_error_oracle,1,0,[6]
619,soft,random_error_oracle,1,0,"[0,5,3,2,4,6]"
62,soft,random_error_oracle,1,0,[6]
620,soft,random_error_oracle,1,0,"[5,0]"
621,soft,random_error_oracle,1,0,"[6,1,2]"
622,soft,random_error_oracle,1,0,[5]
623,soft,random_error_oracle,1,0,"[0,6]"
624,soft,random_error_oracle,1,0,"[5,1]"
625,soft,random_error_oracle,1,0,"[2,0]"
626,soft,random_error_oracle,1,0,"[2,5]"
629,soft,random_error_oracle,1,0,"[5,3,0]"
63,soft,random_error_oracle,1,0,"[2,3]"
630,soft,random_error_oracle,1,0,[5]
631,soft,random_error_oracle,1,0,[]
633,soft,random_error_oracle,1,0,"[2,5,0,6]"
634,soft,random_error_oracle,1,0,[5]
635,soft,random_error_oracle,1,0,"[6,0,3]"
636,soft,random_error_oracle,1,0,"[2,0,5,6]"
637,soft,random_error_oracle,1,0,[0]
638,soft,random_error_oracle,1,0,"[6,1,5]"
639,soft,random_error_oracle,1,0,"[0,6]"
640,soft,random_error_oracle,1,0,"[5,0]"
641,soft,random_error_oracle,1,0,[]
642,soft,random_error_oracle,1,0,[2]
643,soft,random_error_oracle,1,0,"[2,6]"
645,soft,random_error_oracle,1,0,"[3,4,1]"
646,soft,random_error_oracle,1,0,[3]
647,soft,random_error_oracle,1,0,"[2,4,1]"
648,soft,random_error_oracle,1,0,[]
652,soft,random_error_oracle,1,0,[1]
653,soft,random_error_oracle,1,0,"[5,2]"
654,soft,random_error_oracle,1,0,[1]
655,soft,random_error_oracle,1,0,"[3,0]"
656,soft,random_error_oracle,1,0,[2]
657,soft,random_error_oracle,1,0,[]
659,soft,random_error_oracle,1,0,"[5,2]"
66,soft,random_error_oracle,1,0,"[3,5,6,0]"
660,soft,random_error_oracle,1,0,"[2,6]"
661,soft,random_error_oracle,1,0,[]
662,soft,random_error_oracle,1,0,"[5,6,1]"
663,soft,random_error_oracle,1,0,"[1,0]"
664,soft,random_error_oracle,1,0,"[0,5,6,1]"
665,soft,random_error_oracle,1,0,"[1,5,0,2,6]"
666,soft,random_error_oracle,1,0,"[5,0,1,6]"
667,soft,random_error_oracle,1,0,[1]
668,soft,random_error_oracle,1,0,"[6,3,2]"
669,soft,random_error_oracle,1,0,"[2,6]"
67,soft,random_error_oracle,1,0,[]
670,soft,random_error_oracle,1,0,[]
671,soft,random_error_oracle,1,0,[6]
672,soft,random_error_oracle,1,0,[1]
673,soft,random_error_oracle,1,0,"[0,5]"
675,soft,random_error_oracle,1,0,"[0,2]"
676,soft,random_error_oracle,1,0,[3]
677,soft,random_error_oracle,1,0,"[6,0,1,5]"
678,soft,random_error_oracle,1,0,"[4,2]"
679,soft,random_error_oracle,1,0,"[6,2]"
680,soft,random_error_oracle,1,0,"[2,0,6]"
681,soft,random_error_oracle,1,0,"[0,5]"
682,soft,random_error_oracle,1,0,"[2,4,6]"
683,soft,random_error_oracle,1,0,[2]
685,soft,random_error_oracle,1,0,[]
687,soft,random_error_oracle,1,0,[5]
688,soft,random_error_oracle,1,0,[6]
689,soft,random_error_oracle,1,0,"[0,6,2,4]"
690,soft,random_error_oracle,1,0,"[3,6,0,1]"
691,soft,random_error_oracle,1,0,[6]
693,soft,random_error_oracle,1,0,[5]
694,soft,random_error_oracle,1,0,[0]
695,soft,random_error_oracle,1,0,"[6,2,5]"
696,soft,random_error_oracle,1,0,"[5,2,4]"
699,soft,random_error_oracle,1,0,"[1,5,2,6]"
70,soft,random_error_oracle,1,0,"[2,3]"
700,soft,random_error_oracle,1,0,"[0,3]"
701,soft,random_error_oracle,1,0,"[1,3,0]"
702,soft,random_error_oracle,1,0,"[6,4]"
704,soft,random_error_oracle,1,0,"[3,2,1]"
705,soft,random_error_oracle,1,0,"[0,6,3]"
706,soft,random_error_oracle,1,0,"[5,0]"
707,soft,random_error_oracle,1,0,"[0,6]"
709,soft,random_error_oracle,1,0,"[3,2]"
710,soft,random_error_oracle,1,0,"[1,6,2]"
711,soft,random_error_oracle,1,0,"[6,3,5,2,0]"
713,soft,random_error_oracle,1,0,[]
714,soft,random_error_oracle,1,0,"[2,6,0,5]"
718,soft,random_error_oracle,1,0,[]
72,soft,random_error_oracle,1,0,[]
722,soft,random_error_oracle,1,0,"[2,5]"
723,soft,random_error_oracle,1,0,"[0,6,1]"
724,soft,random_error_oracle,1,0,"[1,5,3,0]"
725,soft,random_error_oracle,1,0,"[0,5,6,2]"
727,soft,random_error_oracle,1,0,"[1,5]"
728,soft,random_error_oracle,1,0,"[0,3]"
729,soft,random_error_oracle,1,0,"[6,4]"
73,soft,random_error_oracle,1,0,[]
730,soft,random_error_oracle,1,0,[5]
731,soft,random_error_oracle,1,0,"[6,2,5,0]"
732,soft,random_error_oracle,1,0,"[6,0,2]"
733,soft,random_error_oracle,1,0,"[0,1]"
734,soft,random_error_oracle,1,0,[4]
735,soft,random_error_oracle,1,0,"[6,0,2,5]"
736,soft,random_error_oracle,1,0,"[6,5,2]"
737,soft,random_error_oracle,1,0,"[5,2,0]"
739,soft,random_error_oracle,1,0,"[5,0]"
74,soft,random_error_oracle,1,0,[6]
740,soft,random_error_oracle,1,0,[1]
741,soft,random_error_oracle,1,0,"[0,6]"
744,soft,random_error_oracle,1,0,"[3,0,2,1]"
746,soft,random_error_oracle,1,0,"[4,0,2]"
747,soft,random_error_oracle,1,0,[0]
748,soft,random_error_oracle,1,0,"[2,1,4]"
75,soft,random_error_oracle,1,0,[]
750,soft,random_error_oracle,1,0,"[2,4,6,5]"
751,soft,random_error_oracle,1,0,[]
752,soft,random_error_oracle,1,0,"[6,1]"
754,soft,random_error_oracle,1,0,[4]
757,soft,random_error_oracle,1,0,[5]
758,soft,random_error_oracle,1,0,[]
759,soft,random_error_oracle,1,0,"[1,4]"
760,soft,random_error_oracle,1,0,[]
762,soft,random_error_oracle,1,0,"[2,1]"
763,soft,random_error_oracle,1,0,"[3,1]"
764,soft,random_error_oracle,1,0,"[0,1]"
765,soft,random_error_oracle,1,0,[2]
766,soft,random_error_oracle,1,0,"[2,0,6,1,4]"
767,soft,random_error_oracle,1,0,"[3,1]"
768,soft,random_error_oracle,1,0,"[0,3,4]"
769,soft,random_error_oracle,1,0,"[0,1]"
77,soft,random_error_oracle,1,0,[]
770,soft,random_error_oracle,1,0,"[6,4,5]"
771,soft,random_error_oracle,1,0,"[4,0]"
772,soft,random_error_oracle,1,0,[4]
773,soft,random_error_oracle,1,0,"[0,2,6]"
775,soft,random_error_oracle,1,0,"[6,2,5]"
776,soft,random_error_oracle,1,0,"[0,1,2]"
777,soft,random_error_oracle,1,0,[2]
778,soft,random_error_oracle,1,0,"[5,6]"
779,soft,random_error_oracle,1,0,"[0,1,6]"
78,soft,random_error_oracle,1,0,[6]
780,soft,random_error_oracle,1,0,[]
782,soft,random_error_oracle,1,0,[]
783,soft,random_error_oracle,1,0,[]
784,soft,random_error_oracle,1,0,[6]
785,soft,random_error_oracle,1,0,[2]
786,soft,random_error_oracle,1,0,[3]
787,soft,random_error_oracle,1,0,[2]
789,soft,random_error_oracle,1,0,"[1,0,3,4]"
79,soft,random_error_oracle,1,0,[]
791,soft,random_error_oracle,1,0,"[2,5]"
792,soft,random_error_oracle,1,0,"[4,6]"
794,soft,random_error_oracle,1,0,[]
795,soft,random_error_oracle,1,0,"[4,3,1]"
797,soft,random_error_oracle,1,0,"[4,0]"
799,soft,random_error_oracle,1,0,"[4,2,0,1]"
80,soft,random_error_oracle,1,0,[]
800,soft,random_error_oracle,1,0,[]
801,soft,random_error_oracle,1,0,"[0,5,4,6]"
802,soft,random_error_oracle,1,0,[6]
804,soft,random_error_oracle,1,0,"[3,5,1]"
805,soft,random_error_oracle,1,0,"[6,2,1]"
806,soft,random_error_oracle,1,0,"[4,0]"
807,soft,random_error_oracle,1,0,"[6,0,1,2]"
808,soft,random_error_oracle,1,0,"[6,4]"
809,soft,random_error_oracle,1,0,"[1,4,3,2,0]"
810,soft,random_error_oracle,1,0,[5]
811,soft,random_error_oracle,1,0,[5]
812,soft,random_error_oracle,1,0,"[1,2,3]"
813,soft,random_error_oracle,1,0,[]
815,soft,random_error_oracle,1,0,"[6,2,0,3]"
816,soft,random_error_oracle,1,0,[6]
817,soft,random_error_oracle,1,0,[4]
818,soft,random_error_oracle,1,0,[0]
819,soft,random_error_oracle,1,0,[6]
82,soft,random_error_oracle,1,0,[2]
820,soft,random_error_oracle,1,0,[2]
821,soft,random_error_oracle,1,0,[6]
822,soft,random_error_oracle,1,0,"[6,3,4,5]"
83,soft,random_error_oracle,1,0,[]
853,soft,random_error_oracle,1,0,"[6,1,3]"
854,soft,random_error_oracle,1,0,[1]
855,soft,random_error_oracle,1,0,[2]
856,soft,random_error_oracle,1,0,[6]
857,soft,random_error_oracle,1,0,"[5,1]"
858,soft,random_error_oracle,1,0,"[0,5]"
859,soft,random_error_oracle,1,0,"[2,5]"
860,soft,random_error_oracle,1,0,"[6,0,5]"
861,soft,random_error_oracle,1,0,[]
862,soft,random_error_oracle,1,0,"[0,6]"
863,soft,random_error_oracle,1,0,[]
864,soft,random_error_oracle,1,0,"[0,3,6,5]"
865,soft,random_error_oracle,1,0,"[6,0,3]"
868,soft,random_error_oracle,1,0,[]
869,soft,random_error_oracle,1,0,[]
87,soft,random_error_oracle,1,0,[5]
870,soft,random_error_oracle,1,0,"[5,0,2]"
871,soft,random_error_oracle,1,0,[]
872,soft,random_error_oracle,1,0,"[5,0,2,6]"
873,soft,random_error_oracle,1,0,[3]
874,soft,random_error_oracle,1,0,"[4,0,1,6,3]"
875,soft,random_error_oracle,1,0,"[0,2,3]"
876,soft,random_error_oracle,1,0,[1]
877,soft,random_error_oracle,1,0,[2]
879,soft,random_error_oracle,1,0,"[0,3]"
88,soft,random_error_oracle,1,0,"[1,2,0,6]"
880,soft,random_error_oracle,1,0,[]
