csv_line,case_num,modality,reference,status,resolved_path,decode_error
50,49,derm,NML/Nml043.jpg,exact,NML/Nml043.jpg,
50,49,clinic,NML/Nml042.jpg,exact,NML/Nml042.jpg,
51,50,derm,NML/Nml087.jpg,exact,NML/Nml087.jpg,
51,50,clinic,NML/Nml086.jpg,exact,NML/Nml086.jpg,
52,51,derm,NML/Nml089.jpg,exact,NML/Nml089.jpg,
52,51,clinic,NML/Nml088.jpg,exact,NML/Nml088.jpg,
53,52,derm,A1l/Aal068.jpg,exact,A1l/Aal068.jpg,
53,52,clinic,A1l/Aal067.jpg,exact,A1l/Aal067.jpg,
54,53,derm,Adl/Adl325.jpg,exact,Adl/Adl325.jpg,
54,53,clinic,Adl/Adl324.jpg,exact,Adl/Adl324.jpg,
55,54,derm,Ael/Ael442.jpg,exact,Ael/Ael442.jpg,
55,54,clinic,Ael/Ael441.jpg,exact,Ael/Ael441.jpg,
56,55,derm,Ael/Ael444.jpg,exact,Ael/Ael444.jpg,
56,55,clinic,Ael/Ael443.jpg,exact,Ael/Ael443.jpg,
57,56,derm,Ael/Ael446.jpg,exact,Ael/Ael446.jpg,
57,56,clinic,Ael/Ael445.jpg,exact,Ael/Ael445.jpg,
58,57,derm,Ael/Ael508.jpg,exact,Ael/Ael508.jpg,
58,57,clinic,Ael/Ael507.jpg,exact,Ael/Ael507.jpg,
59,58,derm,Ael/Ael510.jpg,exact,Ael/Ael510.jpg,
59,58,clinic,Ael/Ael509.jpg,exact,Ael/Ael509.jpg,
60,59,derm,Ael/Ael512.jpg,exact,Ael/Ael512.jpg,
60,59,clinic,Ael/Ael511.jpg,exact,Ael/Ael511.jpg,
61,60,derm,Gzl/gzl24.jpg,exact,Gzl/gzl24.jpg,
61,60,clinic,Gzl/gzl23.jpg,exact,Gzl/gzl23.jpg,
62,61,derm,Gzl/gzl88.jpg,exact,Gzl/gzl88.jpg,
62,61,clinic,Gzl/gzl87.jpg,exact,Gzl/gzl87.jpg,
63,62,derm,Gzl/gzl42.jpg,exact,Gzl/gzl42.jpg,
63,62,clinic,Gzl/gzl41.jpg,exact,Gzl/gzl41.jpg,
64,63,derm,FAL/Fal012.jpg,exact,FAL/Fal012.jpg,
64,63,clinic,FAL/Fal010.jpg,exact,FAL/Fal010.jpg,
65,64,derm,FBL/FBL032.JPG,exact,FBL/FBL032.JPG,
65,64,clinic,FBL/FBL031.JPG,exact,FBL/FBL031.JPG,
66,65,derm,FCL/Fcl088.jpg,exact,FCL/Fcl088.jpg,
66,65,clinic,FCL/FCL087.JPG,exact,FCL/FCL087.JPG,
67,66,derm,FDL/FDL026.JPG,exact,FDL/FDL026.JPG,
67,66,clinic,FDL/Fdl025.jpg,exact,FDL/Fdl025.jpg,
68,67,derm,Ggl/Ggl004.jpg,exact,Ggl/Ggl004.jpg,
68,67,clinic,Ggl/Ggl003.jpg,exact,Ggl/Ggl003.jpg,
69,68,derm,Ggl/Ggl006.jpg,exact,Ggl/Ggl006.jpg,
69,68,clinic,Ggl/Ggl005.jpg,exact,Ggl/Ggl005.jpg,
70,69,derm,Fgl/Fgl063.jpg,exact,Fgl/Fgl063.jpg,
70,69,clinic,Fgl/Fgl062.jpg,exact,Fgl/Fgl062.jpg,
71,70,derm,Fgl/Fgl090.jpg,exact,Fgl/Fgl090.jpg,
71,70,clinic,Fgl/Fgl049.jpg,exact,Fgl/Fgl049.jpg,
72,71,derm,NDL/Ndl005.jpg,exact,NDL/Ndl005.jpg,
72,71,clinic,NDL/Ndl006.jpg,exact,NDL/Ndl006.jpg,
73,72,derm,NBL/Nbl076.jpg,exact,NBL/Nbl076.jpg,
73,72,clinic,NBL/Nbl075.jpg,exact,NBL/Nbl075.jpg,
74,73,derm,NBL/Nbl081.jpg,exact,NBL/Nbl081.jpg,
74,73,clinic,NBL/Nbl082.jpg,exact,NBL/Nbl082.jpg,
75,74,derm,NBL/Nbl086.jpg,exact,NBL/Nbl086.jpg,
75,74,clinic,NBL/Nbl085.jpg,exact,NBL/Nbl085.jpg,
76,75,derm,NBL/Nbl095.jpg,exact,NBL/Nbl095.jpg,
76,75,clinic,NBL/Nbl096.jpg,exact,NBL/Nbl096.jpg,
77,76,derm,NBL/Nbl098.jpg,exact,NBL/Nbl098.jpg,
77,76,clinic,NBL/Nbl097.jpg,exact,NBL/Nbl097.jpg,
78,77,derm,NCL/Ncl004.jpg,exact,NCL/Ncl004.jpg,
78,77,clinic,NCL/Ncl003.jpg,exact,NCL/Ncl003.jpg,
79,78,derm,NCL/Ncl006.jpg,exact,NCL/Ncl006.jpg,
79,78,clinic,NCL/Ncl005.jpg,exact,NCL/Ncl005.jpg,
80,79,derm,NCL/Ncl008.jpg,exact,NCL/Ncl008.jpg,
80,79,clinic,NCL/Ncl007.jpg,exact,NCL/Ncl007.jpg,
81,80,derm,NCL/Ncl010.jpg,exact,NCL/Ncl010.jpg,
81,80,clinic,NCL/Ncl009.jpg,exact,NCL/Ncl009.jpg,
82,81,derm,NCL/Ncl012.jpg,exact,NCL/Ncl012.jpg,
82,81,clinic,NCL/Ncl011.jpg,exact,NCL/Ncl011.jpg,
83,82,derm,NCL/Ncl014.jpg,exact,NCL/Ncl014.jpg,
83,82,clinic,NCL/Ncl013.jpg,exact,NCL/Ncl013.jpg,
84,83,derm,NCL/Ncl022.jpg,exact,NCL/Ncl022.jpg,
84,83,clinic,NCL/Ncl021.jpg,exact,NCL/Ncl021.jpg,
85,84,derm,NCL/Ncl030.jpg,exact,NCL/Ncl030.jpg,
85,84,clinic,NCL/Ncl031.jpg,exact,NCL/Ncl031.jpg,
86,85,derm,NCL/Ncl035.jpg,exact,NCL/Ncl035.jpg,
86,85,clinic,NCL/Ncl036.jpg,exact,NCL/Ncl036.jpg,
87,86,derm,NCL/Ncl044.jpg,exact,NCL/Ncl044.jpg,
87,86,clinic,NCL/Ncl043.jpg,exact,NCL/Ncl043.jpg,
88,87,derm,NCL/Ncl048.jpg,exact,NCL/Ncl048.jpg,
88,87,clinic,NCL/Ncl047.jpg,exact,NCL/Ncl047.jpg,
89,88,derm,NCL/Ncl050.jpg,exact,NCL/Ncl050.jpg,
89,88,clinic,NCL/Ncl049.jpg,exact,NCL/Ncl049.jpg,
90,89,derm,NCL/Ncl051.jpg,exact,NCL/Ncl051.jpg,
90,89,clinic,NCL/Ncl052.jpg,exact,NCL/Ncl052.jpg,
91,90,derm,NCL/Ncl053.jpg,exact,NCL/Ncl053.jpg,
91,90,clinic,NCL/Ncl054.jpg,exact,NCL/Ncl054.jpg,
92,91,derm,NCL/Ncl056.jpg,exact,NCL/Ncl056.jpg,
92,91,clinic,NCL/Ncl055.jpg,exact,NCL/Ncl055.jpg,
93,92,derm,NCL/Ncl063.jpg,exact,NCL/Ncl063.jpg,
93,92,clinic,NCL/Ncl062.jpg,exact,NCL/Ncl062.jpg,
94,93,derm,NCL/Ncl064.jpg,exact,NCL/Ncl064.jpg,
94,93,clinic,NCL/Ncl065.jpg,exact,NCL/Ncl065.jpg,
95,94,derm,NCL/Ncl069.jpg,exact,NCL/Ncl069.jpg,
95,94,clinic,NCL/NCL070.JPG,exact,NCL/NCL070.JPG,
96,95,derm,NCL/Ncl076.jpg,exact,NCL/Ncl076.jpg,
96,95,clinic,NCL/Ncl075.jpg,exact,NCL/Ncl075.jpg,
97,96,derm,NCL/Ncl079.jpg,exact,NCL/Ncl079.jpg,
97,96,clinic,NCL/Ncl080.jpg,exact,NCL/Ncl080.jpg,
98,97,derm,NCL/Ncl083.jpg,exact,NCL/Ncl083.jpg,
98,97,clinic,NCL/Ncl084.jpg,exact,NCL/Ncl084.jpg,
99,98,derm,NCL/Ncl085.jpg,exact,NCL/Ncl085.jpg,
99,98,clinic,NCL/Ncl086.jpg,exact,NCL/Ncl086.jpg,
100,99,derm,NDL/Ndl009.jpg,exact,NDL/Ndl009.jpg,
100,99,clinic,NDL/Ndl010.jpg,exact,NDL/Ndl010.jpg,
101,100,derm,NDL/Ndl012.jpg,exact,NDL/Ndl012.jpg,
101,100,clinic,NDL/Ndl011.jpg,exact,NDL/Ndl011.jpg,
102,101,derm,NDL/ndl013.jpg,exact,NDL/ndl013.jpg,
102,101,clinic,NDL/ndl014.jpg,exact,NDL/ndl014.jpg,
103,102,derm,NDL/Ndl018.jpg,exact,NDL/Ndl018.jpg,
103,102,clinic,NDL/Ndl017.jpg,exact,NDL/Ndl017.jpg,
104,103,derm,NDL/Ndl021.jpg,exact,NDL/Ndl021.jpg,
104,103,clinic,NDL/Ndl020.jpg,exact,NDL/Ndl020.jpg,
105,104,derm,NDL/Ndl022.jpg,exact,NDL/Ndl022.jpg,
105,104,clinic,NDL/Ndl023.jpg,exact,NDL/Ndl023.jpg,
106,105,derm,NDL/Ndl025.jpg,exact,NDL/Ndl025.jpg,
106,105,clinic,NDL/Ndl024.jpg,exact,NDL/Ndl024.jpg,
107,106,derm,NDL/Ndl027.jpg,exact,NDL/Ndl027.jpg,
107,106,clinic,NDL/Ndl026.jpg,exact,NDL/Ndl026.jpg,
108,107,derm,NDL/Ndl028.jpg,exact,NDL/Ndl028.jpg,
108,107,clinic,NDL/Ndl029.jpg,exact,NDL/Ndl029.jpg,
109,108,derm,NDL/Ndl031.jpg,exact,NDL/Ndl031.jpg,
109,108,clinic,NDL/Ndl030.jpg,exact,NDL/Ndl030.jpg,
110,109,derm,NDL/Ndl033.jpg,exact,NDL/Ndl033.jpg,
110,109,clinic,NDL/Ndl032.jpg,exact,NDL/Ndl032.jpg,
111,110,derm,NDL/Ndl035.jpg,exact,NDL/Ndl035.jpg,
111,110,clinic,NDL/NDL034.JPG,exact,NDL/NDL034.JPG,
112,111,derm,NDL/Ndl037.jpg,exact,NDL/Ndl037.jpg,
112,111,clinic,NDL/Ndl036.jpg,exact,NDL/Ndl036.jpg,
113,112,derm,NDL/Ndl039.jpg,exact,NDL/Ndl039.jpg,
113,112,clinic,NDL/Ndl038.jpg,exact,NDL/Ndl038.jpg,
114,113,derm,NDL/Ndl040.jpg,exact,NDL/Ndl040.jpg,
114,113,clinic,NDL/Ndl041.jpg,exact,NDL/Ndl041.jpg,
115,114,derm,NFL/Nfl032.jpg,exact,NFL/Nfl032.jpg,
115,114,clinic,NFL/Nfl031.jpg,exact,NFL/Nfl031.jpg,
116,115,derm,NFL/Nfl052.jpg,exact,NFL/Nfl052.jpg,
116,115,clinic,NFL/NFL051.JPG,exact,NFL/NFL051.JPG,
117,116,derm,NGL/Ngl023.jpg,exact,NGL/Ngl023.jpg,
117,116,clinic,NGL/Ngl022.jpg,exact,NGL/Ngl022.jpg,
118,117,derm,NGL/Ngl043.jpg,exact,NGL/Ngl043.jpg,
118,117,clinic,NGL/Ngl042.jpg,exact,NGL/Ngl042.jpg,
119,118,derm,NGL/Ngl049.jpg,exact,NGL/Ngl049.jpg,
119,118,clinic,NGL/NGL048.JPG,exact,NGL/NGL048.JPG,
120,119,derm,NGL/Ngl053.jpg,exact,NGL/Ngl053.jpg,
120,119,clinic,NGL/Ngl052.jpg,exact,NGL/Ngl052.jpg,
121,120,derm,NGL/Ngl074.jpg,exact,NGL/Ngl074.jpg,
121,120,clinic,NGL/Ngl073.jpg,exact,NGL/Ngl073.jpg,
122,121,derm,NGL/Ngl076.jpg,exact,NGL/Ngl076.jpg,
122,121,clinic,NGL/Ngl075.jpg,exact,NGL/Ngl075.jpg,
123,122,derm,NGL/Ngl092.jpg,exact,NGL/Ngl092.jpg,
123,122,clinic,NGL/Ngl091.jpg,exact,NGL/Ngl091.jpg,
124,123,derm,NGL/Ngl094.jpg,exact,NGL/Ngl094.jpg,
124,123,clinic,NGL/Ngl093.jpg,exact,NGL/Ngl093.jpg,
125,124,derm,NGL/Ngl096.jpg,exact,NGL/Ngl096.jpg,
125,124,clinic,NGL/Ngl095.jpg,exact,NGL/Ngl095.jpg,
126,125,derm,NHL/Nhl013.jpg,exact,NHL/Nhl013.jpg,
126,125,clinic,NHL/Nhl012.jpg,exact,NHL/Nhl012.jpg,
127,126,derm,NHL/Nhl015.jpg,exact,NHL/Nhl015.jpg,
127,126,clinic,NHL/Nhl014.jpg,exact,NHL/Nhl014.jpg,
128,127,derm,NIL/Nil002.jpg,exact,NIL/Nil002.jpg,
128,127,clinic,NIL/Nil001.jpg,exact,NIL/Nil001.jpg,
129,128,derm,NIL/Nil006.jpg,exact,NIL/Nil006.jpg,
129,128,clinic,NIL/Nil005.jpg,exact,NIL/Nil005.jpg,
130,129,derm,NIL/Nil008.jpg,exact,NIL/Nil008.jpg,
130,129,clinic,NIL/Nil007.jpg,exact,NIL/Nil007.jpg,
131,130,derm,NIL/Nil010.jpg,exact,NIL/Nil010.jpg,
131,130,clinic,NIL/Nil009.jpg,exact,NIL/Nil009.jpg,
132,131,derm,NIL/Nil021.jpg,exact,NIL/Nil021.jpg,
132,131,clinic,NIL/Nil020.jpg,exact,NIL/Nil020.jpg,
133,132,derm,NIL/Nil025.jpg,exact,NIL/Nil025.jpg,
133,132,clinic,NIL/Nil024.jpg,exact,NIL/Nil024.jpg,
134,133,derm,NIL/Nil027.jpg,exact,NIL/Nil027.jpg,
134,133,clinic,NIL/Nil026.jpg,exact,NIL/Nil026.jpg,
135,134,derm,NIL/Nil033.jpg,exact,NIL/Nil033.jpg,
135,134,clinic,NIL/Nil032.jpg,exact,NIL/Nil032.jpg,
136,135,derm,NIL/Nil035.jpg,exact,NIL/Nil035.jpg,
136,135,clinic,NIL/Nil034.jpg,exact,NIL/Nil034.jpg,
137,136,derm,NIL/Nil037.jpg,exact,NIL/Nil037.jpg,
137,136,clinic,NIL/Nil036.jpg,exact,NIL/Nil036.jpg,
138,137,derm,NIL/Nil043.jpg,exact,NIL/Nil043.jpg,
138,137,clinic,NIL/Nil042.jpg,exact,NIL/Nil042.jpg,
139,138,derm,NIL/Nil045.jpg,exact,NIL/Nil045.jpg,
139,138,clinic,NIL/Nil044.jpg,exact,NIL/Nil044.jpg,
140,139,derm,NIL/Nil048.jpg,exact,NIL/Nil048.jpg,
140,139,clinic,NIL/Nil047.jpg,exact,NIL/Nil047.jpg,
141,140,derm,NIL/Nil052.jpg,exact,NIL/Nil052.jpg,
141,140,clinic,NIL/Nil051.jpg,exact,NIL/Nil051.jpg,
142,141,derm,NIL/Nil054.jpg,exact,NIL/Nil054.jpg,
142,141,clinic,NIL/Nil053.jpg,exact,NIL/Nil053.jpg,
143,142,derm,NIL/Nil056.jpg,exact,NIL/Nil056.jpg,
143,142,clinic,NIL/NIL055.JPG,exact,NIL/NIL055.JPG,
144,143,derm,NIL/Nil060.jpg,exact,NIL/Nil060.jpg,
144,143,clinic,NIL/Nil059.jpg,exact,NIL/Nil059.jpg,
145,144,derm,NLL/Nll016.jpg,exact,NLL/Nll016.jpg,
145,144,clinic,NLL/Nll015.jpg,exact,NLL/Nll015.jpg,
146,145,derm,NLL/Nll018.jpg,exact,NLL/Nll018.jpg,
146,145,clinic,NLL/Nll017.jpg,exact,NLL/Nll017.jpg,
147,146,derm,NLL/Nll020.jpg,exact,NLL/Nll020.jpg,
147,146,clinic,NLL/Nll019.jpg,exact,NLL/Nll019.jpg,
148,147,derm,NLL/nll022.jpg,exact,NLL/nll022.jpg,
148,147,clinic,NLL/Nll021.jpg,exact,NLL/Nll021.jpg,
149,148,derm,NLL/nll026.jpg,exact,NLL/nll026.jpg,
149,148,clinic,NLL/Nll025.jpg,exact,NLL/Nll025.jpg,
150,149,derm,NLL/Nll030.jpg,exact,NLL/Nll030.jpg,
150,149,clinic,NLL/nll029.jpg,exact,NLL/nll029.jpg,
151,150,derm,NLL/nll032.jpg,exact,NLL/nll032.jpg,
151,150,clinic,NLL/nll031.jpg,exact,NLL/nll031.jpg,
152,151,derm,NLL/NLL034.JPG,exact,NLL/NLL034.JPG,
152,151,clinic,NLL/nll033.jpg,exact,NLL/nll033.jpg,
153,152,derm,NLL/Nll042.jpg,exact,NLL/Nll042.jpg,
153,152,clinic,NLL/Nll041.jpg,exact,NLL/Nll041.jpg,
154,153,derm,NLL/Nll046.jpg,exact,NLL/Nll046.jpg,
154,153,clinic,NLL/NLL045.JPG,exact,NLL/NLL045.JPG,
155,154,derm,NLL/Nll060.jpg,exact,NLL/Nll060.jpg,
155,154,clinic,NLL/Nll059.jpg,exact,NLL/Nll059.jpg,
156,155,derm,NLL/Nll062.jpg,exact,NLL/Nll062.jpg,
156,155,clinic,NLL/Nll061.jpg,exact,NLL/Nll061.jpg,
157,156,derm,NLL/NLL067.JPG,exact,NLL/NLL067.JPG,
157,156,clinic,NLL/NLL065.JPG,exact,NLL/NLL065.JPG,
158,157,derm,NLL/Nll069.jpg,exact,NLL/Nll069.jpg,
158,157,clinic,NLL/Nll068.jpg,exact,NLL/Nll068.jpg,
159,158,derm,NLL/Nll072.jpg,exact,NLL/Nll072.jpg,
159,158,clinic,NLL/Nll071.jpg,exact,NLL/Nll071.jpg,
160,159,derm,NLL/Nll076.jpg,exact,NLL/Nll076.jpg,
160,159,clinic,NLL/Nll075.jpg,exact,NLL/Nll075.jpg,
161,160,derm,NLL/Nll084.jpg,exact,NLL/Nll084.jpg,
161,160,clinic,NLL/Nll083.jpg,exact,NLL/Nll083.jpg,
162,161,derm,NLL/Nll094.jpg,exact,NLL/Nll094.jpg,
162,161,clinic,NLL/Nll093.jpg,exact,NLL/Nll093.jpg,
163,162,derm,NLL/Nll098.jpg,exact,NLL/Nll098.jpg,
163,162,clinic,NLL/Nll097.jpg,exact,NLL/Nll097.jpg,
164,163,derm,NLL/Nll102.jpg,exact,NLL/Nll102.jpg,
164,163,clinic,NLL/Nll101.jpg,exact,NLL/Nll101.jpg,
165,164,derm,NLL/Nll104.jpg,exact,NLL/Nll104.jpg,
165,164,clinic,NLL/Nll103.jpg,exact,NLL/Nll103.jpg,
166,165,derm,NLL/Nll106.jpg,exact,NLL/Nll106.jpg,
166,165,clinic,NLL/Nll105.jpg,exact,NLL/Nll105.jpg,
167,166,derm,NML/Nml002.jpg,exact,NML/Nml002.jpg,
167,166,clinic,NML/NML001.JPG,exact,NML/NML001.JPG,
168,167,derm,NML/Nml006.jpg,exact,NML/Nml006.jpg,
168,167,clinic,NML/NML005.JPG,exact,NML/NML005.JPG,
169,168,derm,NML/Nml008.jpg,exact,NML/Nml008.jpg,
169,168,clinic,NML/Nml007.jpg,exact,NML/Nml007.jpg,
170,169,derm,NML/Nml014.jpg,exact,NML/Nml014.jpg,
170,169,clinic,NML/Nml013.jpg,exact,NML/Nml013.jpg,
171,170,derm,NML/Nml018.jpg,exact,NML/Nml018.jpg,
171,170,clinic,NML/NML017.jpg,exact,NML/NML017.jpg,
172,171,derm,NML/Nml030.jpg,exact,NML/Nml030.jpg,
172,171,clinic,NML/Nml029.jpg,exact,NML/Nml029.jpg,
173,172,derm,NML/Nml034.jpg,exact,NML/Nml034.jpg,
173,172,clinic,NML/Nml033.jpg,exact,NML/Nml033.jpg,
174,173,derm,NML/Nml085.jpg,exact,NML/Nml085.jpg,
174,173,clinic,NML/Nml084.jpg,exact,NML/Nml084.jpg,
175,174,derm,Adl/Adl381.jpg,exact,Adl/Adl381.jpg,
175,174,clinic,Adl/Adl380.jpg,exact,Adl/Adl380.jpg,
176,175,derm,Adl/Adl387.jpg,exact,Adl/Adl387.jpg,
176,175,clinic,Adl/Adl386.jpg,exact,Adl/Adl386.jpg,
177,176,derm,A2l/Abl101.jpg,exact,A2l/Abl101.jpg,
177,176,clinic,A2l/Abl100.jpg,exact,A2l/Abl100.jpg,
178,177,derm,A2l/Abl108.jpg,exact,A2l/Abl108.jpg,
178,177,clinic,A2l/Abl107.jpg,exact,A2l/Abl107.jpg,
179,178,derm,A2l/Abl112.jpg,exact,A2l/Abl112.jpg,
179,178,clinic,A2l/Abl111.jpg,exact,A2l/Abl111.jpg,
180,179,derm,A2l/Abl116.jpg,exact,A2l/Abl116.jpg,
180,179,clinic,A2l/Abl115.jpg,exact,A2l/Abl115.jpg,
181,180,derm,A2l/Abl118.jpg,exact,A2l/Abl118.jpg,
181,180,clinic,A2l/Abl117.jpg,exact,A2l/Abl117.jpg,
182,181,derm,A2l/Abl121.jpg,exact,A2l/Abl121.jpg,
182,181,clinic,A2l/Abl120.jpg,exact,A2l/Abl120.jpg,
183,182,derm,A2l/Abl123.jpg,exact,A2l/Abl123.jpg,
183,182,clinic,A2l/Abl122.jpg,exact,A2l/Abl122.jpg,
